24,"Demersals- piscivores",0,0,0,0,0,0,0,0,0,0,2.442766E-07,0,2.4E-07,0,0,0.00413343,0,0,0,0.0793298,0.01819227,0.02450108,0.08648509,0.07204291,0,0,0.03961253,0.01349244,
25,"Sharks- pelagics",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01418461,0,0,0,0,
26,HMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01029184,0,0,0,0,
27,"Baleen Whales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01029184,0,0,0,0,
28,Odontocetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02058368,0,0,0.002248584,0,
29,"Sea Birds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03087015,0,0,0,0,
30,Discard,0,0,0,0,0,0,0,0.005928169,0.008822421,0.005699798,0.01008841,0,0.04831597,0.0616486,0,0,0,0,0,0,0.01084741,0.01101117,0,0,0,0,0,0.1262991,
31,Detritus-POC,0.76,0.5037038,0.130625,0.05940142,0.1015764,0.1634559,0.004358791,0.5335349,0.4587657,0.341988,0.4179483,0.23,0.1756945,0.365325,0.06240189,0,0.0007014705,0,0.001407549,0.001076069,0.01084741,0.01101117,0.001324993,0.05145923,0,0.01227888,0,0,
,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Sum,1,1,1,0.9999998,0.99994,1,0.9999999,0.9999993,0.9999998,1,0.9998089,1,0.9997451,0.9992962,0.9999996,0.9999998,1,1,1,0.9999999,1,1,1,1,1,0.9995,1,1,
,"(1 - Sum)",0,0,0,1.788139E-07,6.002188E-05,0,5.960464E-08,7.152557E-07,1.788139E-07,0,0.0001910925,0,0.0002548695,0.000703752,3.576279E-07,1.788139E-07,0,0,0,5.960464E-08,-1.192093E-07,0,0,0,0,0.0005000234,-1.192093E-07,-1.192093E-07,
