"","Group","Year","Value","Stdev","Scale"
"83","AmPlaice",2021,0.00194599970833515,0.000194599970833515,1
"84","AmPlaice",2022,0.00184023995432523,0.000184023995432523,1
"85","AtlHerring",1981,0.00308124623008628,0.000308124623008628,1
"86","AtlHerring",1982,3.60247766278869e-05,3.60247766278869e-06,1
"87","AtlHerring",1983,6.91882977577111e-05,6.91882977577111e-06,1
"88","AtlHerring",1984,8.94660488676858e-05,8.94660488676858e-06,1
"89","AtlHerring",1985,0.00143800358027278,0.000143800358027278,1
"90","AtlHerring",1986,3.03022656317615e-05,3.03022656317615e-06,1
"91","AtlHerring",1987,0.000173264983525059,1.73264983525059e-05,1
"92","AtlHerring",1988,9.86840033204743e-05,9.86840033204743e-06,1
"93","AtlHerring",1989,0.000202428154700472,2.02428154700472e-05,1
"94","AtlHerring",1990,0.000659898596627547,6.59898596627547e-05,1
"95","AtlHerring",1991,0.0061838853678528,0.00061838853678528,1
"96","AtlHerring",1992,0.000505587294287321,5.05587294287322e-05,1
